Year,Month,Deal ID,Stage,PSO/Non-PSO,Region,Practice,Channel,Business Unit,Weight,Leads UW,Leads,SalesOps,Actuals
2020,5,943,Commit,PSO,US-East,Custom AI/ML,GCP,Edu & PubSec,1.00,"$109,916","$109,916","$109,916","$124,000"
2020,5,998,Commit,Non-PSO,US-Central,Custom AI/ML,GCP,Others,0.75,"$7,067","$5,300","$5,300",$0
2020,5,1055,L1,Non-PSO,India,Conversational AI,GCP,BFSI,0.90,"$27,060","$24,354","$24,354","$35,000"
2020,5,1067,Commit,Non-PSO,US-Central,Marketing Analytics,GCP,Edu & PubSec,1.00,"$11,721","$11,721","$11,721","$7,832"
2020,5,1087,Commit,Non-PSO,US-West,Conversational AI,GCP,BFSI,1.00,"$18,480","$18,480","$18,480","$18,200"
2020,5,1141,Commit,Non-PSO,US-East,Conversational AI,GCP,Edu & PubSec,1.00,$0,$0,$0,"$17,500"
2020,5,1191,Commit,Non-PSO,US-West,Custom AI/ML,GCP,TMEG,1.00,"$27,900","$27,900","$27,900","$29,850"
2020,5,1226,Commit,Non-PSO,US-West,Data & Analytics,GCP,Others,0.75,"$6,186","$4,640","$4,640","$5,040"
2020,5,1245,L2,Non-PSO,US-East,Conversational AI,GCP,Others,0.30,"$60,000","$18,000",$0,$0
2020,5,1262,Commit,Non-PSO,US-East,Custom AI/ML,GCP,BFSI,0.00,$194,$0,$0,$0
2020,5,1322,Commit,Non-PSO,US-East,Data & Analytics,GCP,Others,1.00,"$63,000","$63,000","$63,000",$0
2020,5,1329,Commit,Non-PSO,US-East,Custom AI/ML,GCP,Others,0.50,"$68,039","$34,020","$34,020","$30,000"
2020,5,1339,L1,Non-PSO,US-Central,Marketing Analytics,GCP,Others,0.90,"$19,000","$17,100","$17,100",$0
2020,5,1348,Commit,Non-PSO,US-East,Custom AI/ML,GCP,Others,0.75,"$12,537","$9,403","$9,403",$0
2020,5,1393,Commit,PSO,US-Central,Data & Analytics,GCP,Edu & PubSec,0.75,$0,$0,$0,"$4,750"
2020,5,1419,Commit,Non-PSO,US-East,Data & Analytics,Direct,HCLS,1.00,"$7,800","$7,800","$7,800","$7,800"
2020,5,1431,Commit,Non-PSO,US-East,Data & Analytics,Direct,Others,1.00,"$23,750","$23,750","$23,750","$7,917"
2020,5,1463,Commit,Non-PSO,US-East,Document Understanding AI,GCP,BFSI,1.00,"$32,000","$32,000","$32,000","$40,000"
2020,5,1475,Commit,Non-PSO,US-East,Conversational AI,GCP,Edu & PubSec,0.75,"$6,833","$5,125","$5,125","$7,000"
2020,5,1476,Commit,Non-PSO,US-West,Conversational AI,GCP,BFSI,0.75,"$16,154","$12,116","$12,116","$7,000"
2020,5,1487,L1,Non-PSO,EMEA,Conversational AI,GCP,TMEG,0.90,"$41,106","$36,995","$36,995",$0
