Year,Month,Deal ID,Weights,Stages,Leads UW,Business Unit,Channel
2021,11,1960,1,Commit,"$2,30,688",HCLS,GCP
2021,11,3642,1,Commit,"$1,75,000",BFSI,Direct
2021,11,3661,1,Commit,"$93,060",BFSI,Direct
2021,11,3660,1,Commit,"$99,924",BFSI,Direct
2021,11,2345,1,Commit,"$7,600",Edu & PubSec,GCP
2021,11,3485,1,Commit,"$1,10,000",Others,Direct
2021,11,3859,1,Commit,"$65,365",HCLS,Direct
2021,11,2762,1,Commit,"$2,523",HCLS,GCP
2021,11,3663,1,Commit,"$81,444",BFSI,Direct
2021,11,3925,1,Commit,"$28,464",Others,GCP
2021,11,2842,0.1,L1,"$26,400",BFSI,GCP
2021,11,2475,1,Commit,"$19,214",Others,GCP
2021,11,3801,1,Commit,"$92,080",BFSI,Direct
2021,11,3766,1,Commit,"$73,913",Others,GCP
2021,11,3662,1,Commit,"$83,160",BFSI,Direct
2021,11,3019,1,Commit,"$66,192",Others,GCP
2021,11,3054,1,Commit,"$1,04,736",Edu & PubSec,GCP
2021,11,3529,1,Commit,"$88,560",Others,Direct
2021,11,3658,1,Commit,"$65,600",HCLS,GCP
2021,11,3594,1,Commit,"$66,666",HCLS,GCP
2021,11,3267,0.1,L3,"$96,667",BFSI,Direct
2021,11,3976,1,Commit,"$67,631",BFSI,Direct
2021,11,3530,1,Commit,"$64,800",Others,Direct
2021,11,3147,0.4,L2-L4 Extn,"$74,571",HCLS,AWS
2021,11,3586,1,Commit,"$47,040",HCLS,Direct
2021,11,3587,1,Commit,"$47,040",HCLS,Direct
2021,11,2009,1,Commit,"$31,600",BFSI,Direct
2021,11,4225,1,Commit,"$84,375",Others,GCP
2021,11,3604,1,Commit,$812,Others,AWS
2021,11,3745,1,Commit,"$1,73,979",BFSI,GCP
2021,11,2303,1,Commit,"$24,000",HCLS,Direct
2021,11,4105,1,Commit,"$14,167",BFSI,Direct
2021,11,3632,1,Commit,"$16,167",Edu & PubSec,GCP
2021,11,3654,1,Commit,"$1,000",Others,GCP
2021,11,3740,1,Commit,"$45,244",BFSI,Direct
2021,11,4291,1,Pre-Commit,"$1,58,330",HCLS,GCP
2021,11,3664,1,Commit,"$14,784",BFSI,Direct
2021,11,2086,1,Commit,"$52,100",TMEG,Direct
2021,11,4244,1,Commit,"$31,040",Others,AWS
2021,11,3482,1,Commit,"$13,000",TMEG,AWS
2021,11,4229,1,Commit,"$1,43,810",Others,GCP
2021,11,3882,1,Commit,"$16,666",HCLS,Direct
2021,11,3170,1,Commit,"$16,632",BFSI,Direct
2021,11,3379,1,Commit,"$15,233",BFSI,Direct
2021,11,3802,1,Commit,"$25,000",BFSI,Direct
2021,11,3381,1,Commit,"$14,995",BFSI,Direct
2021,11,3850,1,Commit,"$38,840",Others,AWS
2021,11,3857,1,Commit,"$86,683",BFSI,AWS
2021,11,3378,1,Commit,"$13,772",BFSI,Direct
2021,11,3884,1,Commit,"$1,24,375",HCLS,Direct
2021,11,3553,1,Commit,"$20,000",Others,AWS
2021,11,1947,1,Commit,"$6,525",Others,GCP
2021,11,4004,1,Commit,"$8,800",HCLS,GCP
2021,11,4031,1,Commit,"$74,580",BFSI,Direct
2021,11,4272,1,Commit,"$2,188",HCLS,Direct
2021,11,3679,1,Commit,"$57,000",Others,AWS
2021,11,3707,1,Commit,"$5,016",BFSI,Direct
2021,11,3380,1,Commit,"$5,227",BFSI,Direct
2021,11,4156,0.3,L3,"$12,664",BFSI,AWS
2021,11,3550,1,Commit,"$4,500",Edu & PubSec,GCP
2021,11,4120,1,Commit,"$99,444",HCLS,Direct
2021,11,3382,1,Commit,"$4,189",BFSI,Direct
2021,11,4165,1,Commit,"$54,912",Others,GCP
2021,11,4175,1,Commit,"$1,30,416",TMEG,GCP
2021,11,4184,0,On Hold,"$34,431",BFSI,Direct
2021,11,4233,1,Commit,"$64,840",Others,AWS
2021,11,3764,1,Commit,"$1,875",Others,AWS
2021,11,2907,1,Commit,"$2,580",Edu & PubSec,GCP
2021,11,4189,1,Commit,"$24,000",Others,GCP
2021,11,4212,1,Commit,"$67,560",BFSI,Direct
2021,11,4062,0.9,L1,"$41,905",TMEG,Direct
2021,11,4115,1,Commit,"$8,146",TMEG,GCP
2021,11,3639,1,Commit,"$2,000",TMEG,GCP
2021,11,3123,1,Commit,$942,BFSI,AWS
2021,11,4300,1,Commit,"$13,440",HCLS,Direct
2021,11,4319,1,Commit,"$7,646",Others,AWS
2021,11,4317,1,Commit,"$47,750",BFSI,GCP
2021,11,4324,1,Commit,"$53,125",HCLS,Direct
2021,11,4337,0.3,L2,"$83,796",BFSI,Direct
2021,11,4353,1,Commit,"$1,34,250",HCLS,Direct
2021,11,4313,1,Commit,"$33,005",HCLS,GCP
2021,11,4370,0.1,L3,"$5,652",Others,Nvidia
2021,11,4399,1,Commit,"$3,667",HCLS,GCP
2021,11,4420,1,Commit,"$18,552",Others,GCP
2021,11,4433,1,Commit,"$44,200",HCLS,Direct
2021,11,4401,1,Commit,"$3,744",Edu & PubSec,GCP
2021,11,4405,1,Commit,"$5,000",TMEG,Direct
2021,11,4480,1,Commit,"$4,11,004",BFSI,Direct
2021,11,4469,1,Commit,"$56,848",BFSI,AWS
2021,11,4419,1,Commit,"$19,000",Others,GCP
