dealid,Actuals,Weight,Leads UW,dealvalue,Stage,Region,industry,billingtype,solcategory,projectType,businessimpact
2178,40000,1.0,0,280000.0,0,7,16,0,0,4,0
1735,5280,1.0,5280,63200.0,0,6,11,2,2,0,0
1835,59360,1.0,67848,408000.0,0,6,22,2,2,3,0
2086,0,0.9,58240,393200.0,1,6,15,0,0,4,0
2011,56320,0.9,63360,166400.0,1,6,17,2,2,4,0
2012,14080,1.0,14080,41600.0,0,6,17,2,2,4,0
2115,25680,1.0,57816,124020.0,0,6,22,2,2,4,0
2109,81840,1.0,98736,336600.0,0,3,11,2,2,0,0
1966,0,0.9,16896,30720.0,1,6,22,2,2,3,0
584,0,1.0,12264,242500.0,0,6,20,0,0,4,0
1761,14321,1.0,14321,164000.0,0,6,11,2,2,0,0
1226,5880,1.0,6186,68040.0,0,7,20,2,2,4,0
1476,0,1.0,16923,50000.0,0,7,16,0,0,4,0
1019,0,1.0,1936,9800.0,0,6,18,0,0,3,0
1778,0,1.0,1523,13570.0,0,5,4,0,2,4,0
1141,22500,1.0,28579,90000.0,0,6,4,0,0,4,0
1765,24000,1.0,39000,60000.0,0,6,4,0,0,3,0
1702,0,1.0,16296,90000.0,0,6,23,0,0,3,0
1681,0,1.0,384,105000.0,0,5,1,0,0,3,0
1744,163720,1.0,163720,818600.0,0,6,17,0,2,0,0
1329,37600,1.0,79800,394800.0,0,6,23,0,0,3,2
1419,7800,1.0,7800,468000.0,0,6,17,0,0,4,0
1653,33880,1.0,42000,170880.0,0,6,23,0,0,4,2
1733,15840,1.0,15840,181000.0,0,6,11,2,2,0,0
1721,15590,1.0,15590,178577.0,0,6,11,2,2,0,0
2019,20160,1.0,0,41280.0,0,7,20,2,2,4,0
1533,15840,1.0,15840,318240.0,0,6,11,2,0,0,0
1590,25000,1.0,70280,1158378.0,0,6,4,2,0,0,0
1643,75240,1.0,79200,1123200.0,0,6,19,2,0,0,0
1708,58489,1.0,67373,382800.0,0,2,11,2,2,0,0
1740,121230,0.9,190080,1502000.0,11,6,19,2,2,0,2
1707,84546,1.0,88282,501600.0,0,4,11,2,2,0,0
1711,67914,1.0,83345,473550.0,0,0,11,2,2,0,0
1709,80665,1.0,80441,457050.0,0,3,11,2,2,0,0
1734,4351,1.0,4351,49800.0,0,6,11,2,2,0,0
1915,11200,1.0,12320,72800.0,0,2,15,2,0,4,0
1825,28080,1.0,71280,671000.0,0,6,19,2,2,0,0
1519,11088,1.0,11616,59664.0,0,6,11,2,2,0,0
1322,0,1.0,55200,391200.0,0,6,20,2,2,4,0
1087,36400,1.0,36960,109200.0,0,7,16,2,0,3,0
1803,14400,1.0,95840,518400.0,0,6,15,2,2,0,2
1802,0,1.0,96800,468000.0,0,5,16,2,0,4,0
1820,34080,1.0,44000,261040.0,0,7,20,2,2,4,0
1856,57120,1.0,102080,464800.0,0,6,15,2,0,0,0
1989,0,0.9,18876,146256.0,1,6,11,2,2,0,0
1671,55000,1.0,55968,660000.0,0,6,11,2,2,0,0
1455,41250,1.0,48333,290000.0,0,5,20,0,2,4,0
1262,0,1.0,22000,110000.0,0,6,1,0,0,3,0
1454,28750,1.0,45000,270000.0,0,5,20,0,2,4,0
1912,117050,1.0,260923,1424680.0,0,6,11,0,2,4,0
1736,0,1.0,9383,190000.0,0,5,11,0,0,4,0
1882,0,1.0,4616,45000.0,0,1,1,0,0,3,0
1431,20584,1.0,23750,285000.0,0,6,19,0,2,0,0
1428,0,0.9,7917,79166.0,1,6,19,0,2,0,0
1822,13200,1.0,26400,79200.0,0,2,9,0,2,0,0
1741,0,0.9,14444,4500.0,1,7,16,0,0,4,2
1339,0,0.9,38500,135000.0,1,5,19,0,0,3,2
1823,5000,0.9,7700,60000.0,2,2,9,0,2,0,0
1824,15000,0.9,19000,185000.0,2,2,9,0,2,0,0
1955,0,0.9,31130,38670.0,1,7,12,0,0,4,0
2021,50000,1.0,97500,200000.0,0,6,19,0,0,4,0
2017,0,0.9,43493,135000.0,1,3,11,0,0,4,0
1055,10000,0.9,0,45000.0,1,3,1,0,0,3,0
1885,15000,0.9,0,60000.0,1,2,4,0,0,4,0
1913,60000,0.9,0,75000.0,1,6,11,0,2,0,0
1971,26000,1.0,0,130000.0,0,6,11,0,0,0,0
2067,16000,1.0,17600,104000.0,0,6,22,2,2,4,0
1831,5000,1.0,5290,15000.0,0,5,4,2,0,4,0
1993,31600,1.0,47334,395000.0,0,6,11,2,0,0,0
1869,3960,1.0,0,200000.0,0,7,16,0,2,3,0
1536,31231,1.0,26426,263730.0,0,3,20,0,0,0,0
1855,35100,1.0,65560,612800.0,0,6,15,0,0,0,0
1883,16700,1.0,11631,75600.0,0,7,16,0,0,3,0
2058,0,1.0,65173,184000.0,0,6,9,0,0,4,0
998,3130,1.0,10016,56300.0,0,5,14,0,0,3,0
1849,136600,1.0,136600,819600.0,0,6,17,0,0,0,0
1918,31410,1.0,58600,84800.0,0,3,20,0,2,3,0
1777,92568,1.0,151631,1075200.0,0,7,20,0,2,3,0
1475,0,1.0,13696,42000.0,0,6,4,0,0,4,0
1776,61500,1.0,90200,917600.0,0,6,15,0,0,0,0
1393,9000,1.0,11863,27500.0,0,5,18,0,2,3,0
1638,0,0.9,47053,89250.0,1,2,1,0,0,3,0
1348,0,1.0,17143,40000.0,0,6,23,0,0,3,0
1547,5670,1.0,5471,18900.0,0,5,4,0,0,4,0
1949,112500,1.0,112500,675000.0,0,5,11,0,2,4,0
1746,65760,1.0,48526,308400.0,0,6,17,0,0,4,0
1067,19500,1.0,23443,65000.0,0,5,4,0,0,4,0
